ruid,rid,startdate,enddate
1842,6,2020-01-21,2020-02-01
1843,18,2019-02-04,2019-02-15
1844,308,2021-06-08,2021-06-18
1845,408,2019-03-04,2019-03-14
1846,188,2022-11-23,2022-12-02
1847,208,2019-07-29,2019-08-03
1848,303,2023-07-03,2023-07-15
1849,440,2023-06-25,2023-06-28
1850,157,2021-01-07,2021-01-21
1851,423,2020-01-27,2020-02-10
1852,191,2021-09-10,2021-09-13
1853,339,2021-07-15,2021-07-23
1854,121,2021-07-22,2021-08-02
1855,395,2021-11-19,2021-12-03
1857,390,2020-01-23,2020-01-30
1858,315,2022-08-31,2022-09-12
1859,206,2022-08-08,2022-08-22
1860,12,2019-07-31,2019-08-08
1861,259,2024-01-03,2024-01-11
1862,118,2020-06-26,2020-06-30
1864,355,2020-01-24,2020-01-28
1865,389,2020-01-31,2020-02-10
1866,387,2020-02-03,2020-02-17
1868,375,2021-01-29,2021-02-02
1869,126,2023-07-08,2023-07-14
1870,254,2023-12-13,2023-12-23
1871,339,2020-02-22,2020-02-28
1872,138,2019-11-24,2019-12-08
1873,149,2020-01-15,2020-01-26
1875,376,2020-07-23,2020-07-29
1877,225,2019-02-06,2019-02-09
1878,374,2021-02-26,2021-03-04
1879,417,2022-11-30,2022-12-09
1880,354,2020-12-16,2020-12-29
1881,208,2023-05-21,2023-06-01
1883,51,2021-07-25,2021-08-02
1884,259,2023-01-28,2023-02-10
1885,172,2021-06-19,2021-06-28
1886,215,2020-06-06,2020-06-12
1887,125,2019-10-19,2019-10-24
1890,308,2022-06-20,2022-06-27
1892,218,2022-06-02,2022-06-10
1894,4,2021-06-14,2021-06-27
1895,307,2021-06-16,2021-06-22
1897,286,2021-04-05,2021-04-11
1898,347,2023-12-14,2023-12-17
1899,361,2022-09-03,2022-09-12
1900,25,2021-01-17,2021-01-22
1901,79,2020-06-18,2020-06-23
1902,330,2022-11-02,2022-11-09
1903,237,2020-10-21,2020-11-03
1904,238,2019-01-09,2019-01-21
1906,118,2021-09-12,2021-09-22
1908,311,2020-11-26,2020-12-03
1909,378,2022-05-18,2022-05-31
1910,138,2021-05-04,2021-05-09
1911,327,2024-02-03,2024-02-13
1912,83,2019-08-16,2019-08-27
1913,128,2019-09-17,2019-09-26
1914,22,2019-04-01,2019-04-05
1915,321,2020-09-01,2020-09-15
1916,332,2022-11-27,2022-12-07
1917,107,2020-09-29,2020-10-06
1918,221,2020-08-07,2020-08-16
1920,127,2021-11-19,2021-12-03
1922,221,2023-10-05,2023-10-15
1923,386,2023-03-18,2023-03-22
1925,287,2021-07-17,2021-07-27
1927,85,2020-10-07,2020-10-12
1928,404,2020-02-18,2020-02-21
1931,67,2022-10-09,2022-10-23
1932,341,2019-04-01,2019-04-05
1934,251,2023-03-26,2023-04-11
1935,181,2021-08-12,2021-08-19
1936,163,2020-05-13,2020-05-27
1937,102,2022-03-09,2022-03-12
1938,77,2023-12-26,2024-01-05
1940,119,2022-04-13,2022-04-21
1941,87,2021-12-09,2021-12-18
1942,369,2019-09-05,2019-09-18
1943,175,2020-05-26,2020-06-02
1944,337,2019-11-09,2019-11-15
1945,426,2021-11-11,2021-11-25
1946,15,2023-10-17,2023-10-20
1947,194,2020-06-14,2020-06-26
1950,89,2021-05-30,2021-06-12
1951,72,2022-10-21,2022-10-30
1952,447,2019-11-07,2019-11-20
1953,248,2021-05-31,2021-06-10
1954,287,2023-04-25,2023-05-03
1958,169,2020-01-23,2020-01-30
1959,214,2022-06-30,2022-07-05
1960,169,2022-04-04,2022-04-14
1961,297,2022-07-01,2022-07-15
1962,93,2020-08-26,2020-09-06
1963,54,2020-10-21,2020-11-03
1965,198,2019-05-14,2019-05-26
1966,255,2022-01-19,2022-01-24
1967,84,2022-04-07,2022-04-18
1968,194,2020-08-12,2020-08-21
1969,362,2021-06-09,2021-06-19
1970,198,2019-04-09,2019-04-16
1971,302,2019-05-16,2019-05-28
1972,14,2023-05-30,2023-06-09
1973,450,2023-12-23,2023-12-29
1975,191,2023-10-17,2023-10-20
1977,227,2019-09-15,2019-09-25
1978,1,2022-07-14,2022-07-24
1979,9,2019-09-02,2019-09-06
1980,312,2020-11-14,2020-11-20
1981,380,2021-07-19,2021-07-24
1983,288,2021-08-04,2021-08-17
1985,164,2019-04-14,2019-04-26
1986,75,2023-11-21,2023-12-02
1987,263,2021-04-17,2021-04-20
1989,47,2020-12-05,2020-12-11
1991,215,2022-05-10,2022-05-24
1992,375,2020-01-12,2020-01-21
1994,174,2019-02-04,2019-02-16
1995,75,2023-01-13,2023-01-26
1996,283,2020-03-14,2020-03-24
1997,215,2020-04-11,2020-04-22
1999,6,2020-09-09,2020-09-14
2000,442,2020-01-29,2020-02-08
2001,155,2021-02-18,2021-02-22
2002,264,2020-01-30,2020-02-09
2003,131,2021-12-26,2021-12-29
2004,256,2023-05-17,2023-05-30
2005,13,2020-06-15,2020-06-18
2006,215,2022-04-05,2022-04-08
2007,388,2020-12-05,2020-12-11
2008,446,2022-11-27,2022-12-07
2009,34,2021-11-07,2021-11-19
2012,86,2020-04-26,2020-05-09
2013,78,2022-12-25,2023-01-05
2014,16,2021-09-07,2021-09-15
2015,37,2022-11-29,2022-12-03
2016,432,2019-04-14,2019-04-21
2018,84,2023-08-17,2023-08-23
2021,250,2022-03-19,2022-03-31
2022,435,2021-04-17,2021-05-01
2023,114,2023-01-30,2023-02-13
2024,97,2021-02-15,2021-02-26
2026,296,2023-09-17,2023-09-20
2027,74,2022-10-08,2022-10-11
2028,14,2019-08-16,2019-08-26
2029,160,2023-01-13,2023-01-18
2031,187,2019-10-21,2019-10-27
2032,325,2022-11-29,2022-12-03
2033,4,2020-05-19,2020-05-31
2034,426,2023-12-25,2024-01-05
2035,400,2020-08-24,2020-09-03
2036,113,2019-07-13,2019-07-18
2037,171,2022-05-27,2022-06-02
2038,257,2019-12-24,2019-12-31
2040,46,2023-11-27,2023-12-11
2041,360,2020-07-05,2020-07-09
2042,109,2023-04-04,2023-04-15
2043,272,2022-05-03,2022-05-17
2045,107,2023-08-20,2023-08-27
2046,227,2019-02-09,2019-02-14
2047,16,2019-08-16,2019-08-27
2048,196,2022-12-09,2022-12-20
2049,191,2019-07-02,2019-07-16
2050,263,2023-09-30,2023-10-08
2051,429,2019-10-01,2019-10-09
2053,174,2021-05-28,2021-06-05
2054,271,2021-12-10,2021-12-20
2055,227,2021-05-12,2021-05-16
2056,4,2019-02-08,2019-02-17
2057,220,2023-09-21,2023-09-26
2058,35,2021-02-07,2021-02-12
2059,280,2023-07-24,2023-08-07
2060,261,2021-11-06,2021-11-19
2062,73,2020-07-13,2020-07-21
2064,431,2023-10-19,2023-10-26
2067,257,2020-09-20,2020-09-24
2069,113,2021-08-30,2021-09-10
2070,218,2023-05-04,2023-05-16
2072,272,2021-09-03,2021-09-11
2073,91,2021-06-01,2021-06-06
2074,191,2020-03-10,2020-03-19
2075,253,2023-09-06,2023-09-17
2076,158,2020-08-06,2020-08-13
2077,441,2020-08-19,2020-08-29
2079,450,2020-08-07,2020-08-16
2080,216,2022-09-08,2022-09-11
2082,182,2023-01-05,2023-01-09
2083,366,2019-02-06,2019-02-09
2084,374,2023-06-30,2023-07-07
2085,91,2024-01-18,2024-01-25
2087,160,2020-06-21,2020-07-03
2088,44,2020-05-14,2020-05-25
2089,404,2021-05-12,2021-05-21
2090,258,2022-04-13,2022-04-21
2091,359,2022-04-08,2022-04-14
2092,4,2020-06-11,2020-06-17
2093,344,2021-05-13,2021-05-18
2094,33,2020-05-28,2020-06-03
2095,273,2022-08-07,2022-08-11
2097,24,2021-07-19,2021-07-24
2099,98,2023-12-19,2023-12-22
2100,14,2021-06-11,2021-06-17
2101,94,2022-08-30,2022-09-10
2102,324,2022-12-06,2022-12-11
2103,303,2021-11-07,2021-11-19
2104,421,2021-07-13,2021-07-23
2105,168,2023-04-01,2023-04-13
2106,3,2022-11-07,2022-11-14
2108,345,2023-10-25,2023-10-28
2109,299,2021-01-07,2021-01-12
2110,223,2022-06-30,2022-07-05
2113,205,2019-12-11,2019-12-20
2114,63,2022-01-27,2022-02-07
2115,300,2019-08-16,2019-08-27
2116,330,2020-11-20,2020-12-04
2117,383,2023-11-02,2023-11-05
2119,51,2023-12-13,2023-12-16
2120,92,2019-09-29,2019-10-12
2122,271,2021-11-09,2021-11-12
2123,13,2023-10-09,2023-10-18
2124,316,2019-02-04,2019-02-08
2125,392,2021-10-12,2021-10-18
2126,128,2024-02-04,2024-02-11
2127,247,2023-05-29,2023-06-09
2128,417,2021-08-27,2021-09-01
2129,39,2020-05-26,2020-06-01
2130,103,2019-09-05,2019-09-18
2131,444,2021-10-22,2021-10-26
2133,353,2021-05-31,2021-06-10
2134,348,2023-04-11,2023-04-20
2136,316,2019-01-04,2019-01-08
2137,355,2020-05-06,2020-05-20
2138,406,2022-07-29,2022-08-08
2139,223,2022-03-29,2022-04-05
2140,380,2021-05-04,2021-05-18
2141,361,2023-08-19,2023-08-30
2142,91,2020-08-12,2020-08-21
2143,92,2021-12-31,2022-01-04
2144,195,2021-09-15,2021-09-26
2145,396,2020-10-07,2020-10-11
2146,361,2021-09-11,2021-09-24
2147,191,2022-02-13,2022-02-20
2148,71,2020-11-01,2020-11-15
2149,107,2023-01-01,2023-01-06
2151,37,2023-05-11,2023-05-24
2152,86,2023-05-05,2023-05-12
2153,15,2022-11-19,2022-12-02
2154,77,2019-12-30,2020-01-09
2155,23,2021-09-27,2021-10-10
2157,153,2020-08-24,2020-09-03
2158,170,2022-05-18,2022-05-27
2159,123,2023-10-23,2023-10-27
2160,412,2020-06-14,2020-06-26
2161,415,2021-02-27,2021-03-06
2162,192,2020-04-30,2020-05-11
2163,308,2023-04-20,2023-04-26
2164,262,2023-06-01,2023-06-05
2165,407,2023-04-07,2023-04-13
2166,29,2023-02-22,2023-02-27
2167,210,2024-01-09,2024-01-19
2168,346,2023-08-28,2023-09-04
2169,316,2019-09-10,2019-09-13
2172,160,2019-10-21,2019-10-27
2174,421,2021-02-10,2021-02-17
2175,65,2021-12-03,2021-12-17
2176,293,2022-03-09,2022-03-21
2177,377,2019-01-15,2019-01-22
2178,99,2022-09-15,2022-09-19
2179,140,2023-02-10,2023-02-19
2182,178,2020-01-10,2020-01-24
2183,402,2020-11-01,2020-11-15
2184,48,2020-03-14,2020-03-18
2185,409,2023-08-23,2023-08-26
2186,438,2020-07-19,2020-07-29
2187,201,2022-10-09,2022-10-23
2188,223,2022-05-06,2022-05-15
2189,438,2021-05-09,2021-05-21
2190,220,2021-04-18,2021-04-30
2191,403,2022-03-26,2022-04-08
2192,419,2021-07-10,2021-07-13
2193,277,2022-07-17,2022-07-26
2194,246,2019-08-30,2019-09-12
2195,256,2023-02-26,2023-03-11
2196,416,2021-10-21,2021-10-31
2197,143,2022-05-25,2022-06-05
2198,251,2022-07-04,2022-07-18
2199,240,2021-03-18,2021-03-29
2202,252,2023-06-18,2023-06-30
2204,368,2020-10-08,2020-10-19
2205,96,2021-12-25,2022-01-02
2206,82,2023-07-15,2023-07-18
2209,401,2020-12-29,2021-01-05
2210,75,2020-01-19,2020-02-02
2211,75,2023-02-14,2023-02-17
2212,273,2019-11-12,2019-11-15
2213,41,2021-08-07,2021-08-15
2214,169,2019-04-14,2019-04-21
2215,245,2020-01-11,2020-01-22
2216,425,2021-06-27,2021-07-08
2217,118,2022-08-25,2022-09-02
2219,402,2024-01-27,2024-02-07
2220,8,2021-07-10,2021-07-13
2221,93,2021-06-22,2021-07-01
2222,23,2019-02-05,2019-02-09
2223,184,2023-10-17,2023-10-23
2224,92,2022-05-21,2022-06-01
2225,23,2020-09-22,2020-09-26
2226,151,2021-11-12,2021-11-16
2228,85,2023-11-21,2023-12-02
2229,161,2022-01-19,2022-01-24
2230,201,2024-01-28,2024-02-02
2231,248,2019-11-09,2019-11-22
2233,215,2019-03-16,2019-03-30
2234,45,2023-12-28,2024-01-06
2235,386,2022-01-30,2022-02-03
2236,84,2019-06-23,2019-07-05
2237,171,2019-08-18,2019-08-26
2238,260,2023-11-10,2023-11-20
2239,56,2022-08-02,2022-08-08
2240,424,2021-09-23,2021-10-07
2241,378,2023-05-21,2023-05-30
2242,186,2023-01-05,2023-01-09
2243,56,2022-04-27,2022-05-11
2245,126,2022-07-04,2022-07-08
2246,36,2023-03-30,2023-04-05
2248,353,2022-01-23,2022-01-27
2249,278,2019-12-15,2019-12-20
2250,182,2021-05-18,2021-05-25
2251,225,2021-05-13,2021-05-18
2253,358,2021-07-11,2021-07-14
2254,65,2021-11-05,2021-11-11
2255,51,2020-01-19,2020-02-01
2256,417,2022-11-04,2022-11-13
2257,449,2020-02-18,2020-02-21
2259,435,2019-04-17,2019-05-01
2260,90,2024-01-04,2024-01-11
2263,72,2023-02-04,2023-02-10
2264,300,2022-05-10,2022-05-24
2266,272,2022-12-12,2022-12-22
2267,1,2021-07-13,2021-07-23
2268,85,2024-01-04,2024-01-13
2269,2,2022-10-07,2022-10-20
2270,90,2022-06-09,2022-06-22
2271,4,2022-09-10,2022-09-15
2272,135,2022-07-03,2022-07-07
2273,338,2020-11-03,2020-11-15
2274,398,2021-02-17,2021-02-20
2275,208,2019-05-16,2019-05-22
2276,107,2021-02-16,2021-03-01
2277,174,2020-01-30,2020-02-05
2278,80,2020-08-22,2020-09-03
2279,397,2023-11-13,2023-11-16
2280,58,2021-03-14,2021-03-25
2281,406,2022-11-08,2022-11-21
2283,92,2022-09-30,2022-10-13
2284,96,2021-05-18,2021-06-01
2285,180,2021-02-26,2021-03-04
2286,267,2019-09-06,2019-09-14
2288,305,2019-03-07,2019-03-20
2290,304,2021-04-15,2021-04-27
2291,193,2023-02-20,2023-02-23
2292,347,2019-11-01,2019-11-04
2294,329,2022-10-18,2022-10-27
2295,295,2022-02-25,2022-03-04
2296,329,2020-10-04,2020-10-08
2298,239,2020-07-21,2020-07-25
2299,34,2021-06-03,2021-06-17
2300,245,2020-05-05,2020-05-09
2301,208,2020-05-13,2020-05-27
2303,353,2021-02-19,2021-02-25
2304,139,2022-10-13,2022-10-26
2305,253,2020-07-31,2020-08-12
2306,247,2019-02-23,2019-03-07
2307,217,2020-06-06,2020-06-15
2308,39,2021-06-22,2021-07-04
2309,211,2020-05-04,2020-05-18
2310,342,2023-05-23,2023-05-27
2311,44,2019-11-21,2019-11-24
2312,256,2023-04-16,2023-04-22
2313,173,2022-03-29,2022-04-05
2314,433,2021-02-03,2021-02-12
2315,137,2022-02-13,2022-02-16
2316,82,2022-05-18,2022-05-31
2317,246,2019-03-25,2019-04-04
2318,316,2019-11-07,2019-11-16
2320,70,2022-02-12,2022-02-18
2321,448,2023-11-11,2023-11-15
2322,24,2022-11-22,2022-12-06
2323,131,2019-05-10,2019-05-24
2324,105,2021-05-24,2021-05-27
2325,200,2023-08-06,2023-08-14
2326,75,2023-02-28,2023-03-14
2327,69,2021-11-26,2021-11-29
2329,289,2022-05-18,2022-05-27
2331,45,2019-10-19,2019-10-24
2332,115,2021-02-07,2021-02-12
2333,132,2022-02-22,2022-02-27
2335,99,2021-12-16,2021-12-19
2336,437,2020-03-16,2020-03-26
2337,388,2019-10-29,2019-11-12
2338,305,2023-09-30,2023-10-08
2339,327,2022-12-28,2023-01-10
2340,121,2019-03-04,2019-03-14
2341,222,2020-07-01,2020-07-04
2342,439,2022-11-22,2022-12-06
2343,218,2023-08-28,2023-09-04
2344,77,2021-08-16,2021-08-23
2345,136,2021-07-22,2021-07-25
2346,301,2022-10-15,2022-10-18
2347,351,2023-09-30,2023-10-12
2348,315,2020-05-26,2020-06-02
2349,449,2021-12-07,2021-12-11
2351,225,2022-08-09,2022-08-17
2355,125,2022-12-12,2022-12-22
2356,73,2021-07-10,2021-07-20
2357,211,2023-11-27,2023-12-11
2359,81,2019-02-14,2019-02-26
2360,169,2020-10-17,2020-10-23
2361,284,2023-11-16,2023-11-21
2362,355,2023-01-14,2023-01-26
2363,109,2019-04-07,2019-04-17
2364,229,2020-07-19,2020-07-29
2366,301,2020-06-18,2020-06-30
2367,312,2020-06-04,2020-06-16
2368,317,2021-02-27,2021-03-06
2369,232,2023-01-25,2023-01-30
2370,39,2024-01-27,2024-02-07
2371,420,2020-07-08,2020-07-14
2373,355,2022-02-16,2022-02-21
2374,393,2020-07-11,2020-07-17
2375,99,2021-05-09,2021-05-21
2376,60,2019-04-18,2019-04-24
2378,256,2023-10-15,2023-10-22
2379,79,2019-11-01,2019-11-06
2381,250,2021-12-22,2022-01-01
2383,215,2023-10-20,2023-10-29
2384,309,2022-01-20,2022-01-28
2386,369,2023-12-17,2023-12-25
2388,398,2021-08-20,2021-08-24
2389,95,2022-07-11,2022-07-24
2391,120,2019-08-16,2019-08-27
2392,240,2022-08-25,2022-09-02
2393,357,2022-06-30,2022-07-05
2395,3,2022-11-27,2022-12-11
2397,294,2021-05-12,2021-05-21
2398,333,2020-04-16,2020-04-20
2400,213,2019-10-01,2019-10-09
2401,295,2021-06-29,2021-07-10
2402,290,2023-03-14,2023-03-17
2403,414,2020-07-31,2020-08-12
2404,269,2023-09-02,2023-09-10
2405,80,2019-05-26,2019-06-04
2406,398,2021-07-13,2021-07-23
2408,219,2020-10-05,2020-10-14
2409,254,2021-08-14,2021-08-24
2410,13,2022-03-09,2022-03-12
2411,401,2023-04-30,2023-05-14
2412,446,2023-09-21,2023-09-26
2413,130,2021-08-13,2021-08-25
2414,175,2019-10-18,2019-10-27
2416,269,2020-10-07,2020-10-12
2417,262,2021-04-18,2021-04-30
2418,386,2020-09-04,2020-09-11
2420,211,2022-11-29,2022-12-10
2421,183,2021-01-17,2021-01-22
2424,229,2020-09-24,2020-10-06
2425,136,2022-11-08,2022-11-21
2426,366,2019-05-29,2019-06-11
2427,365,2021-12-03,2021-12-17
2428,147,2023-08-23,2023-08-28
2430,268,2023-05-12,2023-05-22
2431,26,2023-09-04,2023-09-18
2432,53,2019-01-26,2019-02-08
2433,146,2020-04-11,2020-04-22
2434,108,2022-09-25,2022-10-02
2435,82,2023-01-18,2023-02-01
2436,251,2023-02-26,2023-03-02
2437,290,2021-05-31,2021-06-10
2438,171,2021-03-14,2021-03-18
2439,21,2023-12-20,2024-01-02
2440,11,2022-08-02,2022-08-08
2441,95,2022-08-23,2022-08-28
2442,239,2022-05-18,2022-05-27
2443,449,2019-12-27,2020-01-06
2445,198,2019-08-05,2019-08-16
2446,187,2023-07-28,2023-08-02
2448,267,2023-01-01,2023-01-06
2449,94,2023-09-24,2023-09-28
2450,13,2020-05-01,2020-05-14
2452,144,2020-04-23,2020-04-28
2453,64,2023-03-29,2023-04-02
2455,208,2020-05-28,2020-06-07
2456,177,2022-04-03,2022-04-17
2457,344,2022-02-26,2022-03-05
2458,425,2019-06-23,2019-07-05
2459,49,2022-07-04,2022-07-08
2460,256,2021-09-14,2021-09-24
2461,315,2021-04-24,2021-05-03
2462,367,2021-11-05,2021-11-17
2464,387,2019-07-04,2019-07-10
2466,406,2022-04-24,2022-05-07
2467,189,2020-04-10,2020-04-19
2468,201,2023-05-20,2023-05-31
2469,129,2020-06-06,2020-06-15
2470,234,2023-04-10,2023-04-18
2471,134,2023-10-26,2023-11-04
2472,254,2023-10-20,2023-11-02
2473,11,2020-12-29,2021-01-09
2474,234,2020-07-01,2020-07-13
2475,422,2023-01-25,2023-02-05
2476,70,2023-02-26,2023-03-02
2477,90,2021-02-07,2021-02-12
2478,348,2023-03-23,2023-04-06
2479,38,2020-12-30,2021-01-11
2480,323,2020-07-28,2020-08-08
2481,120,2019-06-11,2019-06-23
2483,180,2023-04-17,2023-04-30
2484,157,2019-08-31,2019-09-09
2486,399,2019-10-29,2019-11-12
2487,10,2023-06-07,2023-06-13
2488,432,2023-02-11,2023-02-22
2489,188,2021-05-11,2021-05-16
2490,173,2020-09-12,2020-09-24
2491,364,2023-10-22,2023-10-30
2492,316,2023-08-17,2023-08-22
2493,177,2021-06-17,2021-06-20
2495,15,2022-05-27,2022-06-02
2496,442,2023-06-26,2023-07-05
2497,198,2023-11-20,2023-12-03
2498,99,2020-12-03,2020-12-16
2499,44,2019-02-16,2019-02-26
2500,166,2023-12-23,2024-01-02
2501,263,2022-01-22,2022-01-25
2502,420,2023-03-22,2023-04-01
2503,403,2023-09-16,2023-09-20
2504,43,2020-11-14,2020-11-20
2505,89,2023-10-01,2023-10-05
2506,118,2021-08-12,2021-08-22
2507,396,2021-06-03,2021-06-17
2508,126,2020-03-29,2020-04-01
2509,202,2019-01-28,2019-01-31
2510,305,2019-02-19,2019-02-23
2513,98,2020-04-23,2020-04-28
2514,51,2023-05-31,2023-06-14
2515,36,2023-12-30,2024-01-07
2517,24,2023-01-22,2023-02-04
2520,61,2021-04-05,2021-04-11
2521,18,2019-04-07,2019-04-17
2522,271,2022-01-18,2022-01-23
2523,431,2019-10-13,2019-10-19
2524,258,2019-08-16,2019-08-27
2525,424,2021-12-22,2021-12-28
2526,183,2021-09-05,2021-09-14
2527,325,2020-09-24,2020-10-06
2528,396,2023-11-04,2023-11-07
2530,435,2022-09-07,2022-09-18
2531,167,2022-08-21,2022-09-02
2532,161,2023-03-17,2023-03-30
2533,448,2020-06-22,2020-06-25
2534,157,2021-05-14,2021-05-18
2536,306,2021-08-23,2021-09-05
2537,329,2020-05-25,2020-06-01
2538,13,2019-10-28,2019-11-07
2539,3,2023-01-30,2023-02-13
2540,430,2020-05-03,2020-05-12
2541,431,2019-07-29,2019-08-03
2543,286,2019-04-14,2019-04-26
2544,187,2021-01-24,2021-02-03
2545,33,2022-06-12,2022-06-16
2546,129,2019-10-05,2019-10-16
2547,262,2023-10-20,2023-11-03
2548,39,2021-05-30,2021-06-02
2549,142,2023-07-22,2023-07-27
2550,224,2023-04-13,2023-04-21
2552,187,2019-11-19,2019-12-01
2553,141,2020-12-01,2020-12-08
2554,426,2022-08-23,2022-09-05
2555,335,2021-03-29,2021-04-06
2556,187,2020-01-14,2020-01-28
2558,164,2023-03-26,2023-04-08
2560,123,2021-11-18,2021-11-23
2561,80,2023-10-11,2023-10-18
2562,378,2021-02-02,2021-02-14
2564,397,2021-02-08,2021-02-18
2565,127,2019-06-25,2019-07-02
2567,7,2023-05-15,2023-05-28
2569,50,2021-06-11,2021-06-17
2570,288,2020-05-25,2020-05-30
2571,91,2021-09-11,2021-09-24
2572,123,2022-04-23,2022-05-03
2573,16,2021-02-19,2021-02-25
2574,360,2023-05-05,2023-05-12
2575,392,2023-12-25,2024-01-05
2576,22,2020-07-13,2020-07-21
2578,407,2021-12-22,2021-12-28
2580,165,2023-05-23,2023-05-27
2581,421,2022-08-09,2022-08-17
2582,430,2019-04-28,2019-05-06
2583,296,2020-06-13,2020-06-27
2585,407,2023-05-30,2023-06-07
2586,118,2022-03-26,2022-04-05
2587,204,2020-09-09,2020-09-14
2588,82,2024-01-30,2024-02-11
2589,10,2020-09-09,2020-09-14
2590,105,2023-12-28,2024-01-06
2591,146,2021-05-12,2021-05-16
2592,280,2024-01-01,2024-01-04
2594,320,2023-07-15,2023-07-18
2595,208,2019-04-18,2019-04-24
2596,70,2021-08-10,2021-08-14
2597,316,2023-08-26,2023-09-09
2598,51,2023-11-18,2023-11-22
2599,290,2021-04-26,2021-04-30
2601,33,2022-11-27,2022-12-07
2602,52,2020-06-02,2020-06-13
2603,52,2021-03-30,2021-04-06
2604,56,2021-07-10,2021-07-13
2605,358,2022-03-09,2022-03-12
2606,28,2023-09-06,2023-09-17
2607,230,2021-05-13,2021-05-18
2608,12,2019-06-04,2019-06-15
2609,378,2022-02-15,2022-03-01
2612,304,2021-09-11,2021-09-24
2613,284,2023-01-01,2023-01-06
2614,162,2021-02-10,2021-02-17
2615,390,2021-08-13,2021-08-25
2616,177,2024-08-23,2024-09-02
2617,436,2021-08-13,2021-08-25
2618,281,2020-05-25,2020-05-30
2619,5,2021-04-01,2021-04-06
2620,30,2021-12-16,2021-12-24
2621,332,2023-04-13,2023-04-20
2622,319,2021-02-26,2021-03-06
2623,264,2019-12-24,2020-01-01
2624,51,2021-03-29,2021-04-06
2625,304,2019-03-16,2019-03-30
2626,419,2023-02-04,2023-02-10
2627,41,2022-04-17,2022-04-21
2628,447,2022-03-10,2022-03-15
2630,246,2019-11-06,2019-11-19
2632,361,2021-08-14,2021-08-18
2633,45,2021-02-17,2021-02-20
2634,97,2020-10-12,2020-10-16
2635,170,2020-02-21,2020-02-28
2636,251,2022-01-19,2022-01-24
2637,110,2021-07-23,2021-07-26
2638,57,2020-02-21,2020-02-28
2640,95,2022-11-27,2022-12-07
2641,161,2022-05-08,2022-05-15
2642,380,2021-09-03,2021-09-11
2643,43,2023-11-10,2023-11-14
2644,189,2021-03-24,2021-04-03
2646,67,2019-05-16,2019-05-24
2647,220,2020-11-22,2020-11-27
2648,236,2023-01-01,2023-01-13
2649,176,2022-07-03,2022-07-07
2650,441,2020-07-14,2020-07-26
2651,432,2023-09-30,2023-10-08
2652,432,2020-07-12,2020-07-23
2653,144,2023-02-10,2023-02-19
2655,381,2023-01-15,2023-01-21
2656,187,2022-03-20,2022-03-25
2657,352,2023-02-28,2023-03-10
2659,111,2021-03-07,2021-03-18
2660,241,2021-10-05,2021-10-15
2661,121,2022-11-17,2022-11-27
2662,133,2021-12-02,2021-12-11
2663,176,2023-04-23,2023-05-04
2664,316,2023-04-07,2023-04-13
2665,133,2021-05-18,2021-05-25
2666,124,2019-02-05,2019-02-09
2667,368,2021-12-06,2021-12-20
2669,230,2020-02-07,2020-02-12
2671,252,2019-02-20,2019-02-28
2672,183,2020-01-15,2020-01-26
2673,189,2020-05-18,2020-05-22
2674,341,2019-12-15,2019-12-20
2675,394,2020-04-17,2020-04-30
2676,171,2021-01-16,2021-01-21
2677,249,2023-04-29,2023-05-09
2678,389,2020-01-14,2020-01-24
2679,54,2023-04-26,2023-05-04
2680,216,2022-06-24,2022-07-02
2681,137,2022-06-09,2022-06-22
2682,107,2020-06-27,2020-07-03
2684,372,2021-01-29,2021-02-02
2685,38,2019-03-01,2019-03-07
2686,123,2019-12-21,2019-12-24
2687,308,2021-08-04,2021-08-10
2688,137,2020-09-04,2020-09-18
2689,449,2019-02-02,2019-02-07
2690,60,2020-05-13,2020-05-27
2691,333,2019-05-28,2019-06-09
2692,10,2023-01-09,2023-01-15
2694,167,2023-05-13,2023-05-19
2696,177,2023-12-28,2024-01-06
2697,131,2019-07-13,2019-07-18
2698,372,2019-03-23,2019-04-02
2700,167,2021-07-25,2021-07-30
2701,103,2019-08-13,2019-08-26
2703,173,2024-01-03,2024-01-11
2704,205,2020-01-24,2020-01-28
2705,100,2019-11-29,2019-12-08
2706,416,2021-09-15,2021-09-26
2707,331,2021-04-05,2021-04-11
2708,303,2023-06-25,2023-06-28
2709,44,2019-07-21,2019-07-30
2712,254,2021-03-11,2021-03-23
2713,97,2020-12-14,2020-12-28
2715,392,2023-06-07,2023-06-13
2717,443,2021-03-14,2021-03-25
2718,423,2021-07-25,2021-07-30
2719,434,2019-11-17,2019-11-20
2720,163,2020-03-16,2020-03-27
2722,293,2021-12-15,2021-12-24
2723,188,2021-11-18,2021-12-02
2725,291,2023-03-29,2023-04-02
2726,173,2019-06-01,2019-06-11
2727,177,2020-12-19,2020-12-24
2728,358,2022-10-22,2022-10-26
2729,135,2021-09-03,2021-09-12
2731,251,2021-10-17,2021-10-28
2733,291,2024-01-09,2024-01-14
2735,296,2021-02-26,2021-03-04
2736,57,2020-12-30,2021-01-09
2737,429,2021-06-22,2021-07-06
2739,323,2019-08-16,2019-08-21
2740,30,2023-08-03,2023-08-08
2741,323,2021-05-31,2021-06-10
2742,313,2023-12-16,2023-12-20
2743,210,2023-09-26,2023-09-29
2744,379,2023-01-25,2023-01-30
2745,363,2022-06-12,2022-06-16
2747,43,2023-10-17,2023-10-20
2748,39,2021-12-10,2021-12-21
